CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
CONCERTO DE PNEUS;18;27/04/22;TROCAS DE PNEUS;;;580
LICENÇA RODOVIA;21;30/04/22;RECEBI EM MAOS ;;;
CLASSIFICADOR;22;27/04/22;GORGETA;;;20
COMISSAO;24;30/04/22;COMISSAO ;;;1704,4
SEGURO;25;30/04/22;SEGURO TAXAS;;49,3;115,25
CTE  GVA;26;30/04/22;TAXAS;;;232,38
PEDAGIO;29;30/04/22;CONCESSIONARIA;;;82,5
OFICINA DA CARRETA;20;26/04/22;AUTO MECANICA CAMINHONEIRO ;TROCA DE LONA;;310
OFICINA DA CARRETA;20;26/04/22;MR AUTO ELETRICA RIO VERE;LANTERNA DE LED;;157
PNEUS RESSOLADOS;17;26/04/22;PNEUS CENTRAL ;4 RESSOLAGEM BORRACHUDO;;2560
FRETE FUBA;1;03/05/22;QUERENCIA X ARAGUARI;;14776,45;
DIESEL;13;03/05/22;POSTOS CAMINHONEIRO E DECIO;1248;;8118,85
ARLA;14;03/05/22;POSTO MARAJO;;;312,66
TRIAGEM;15;03/05/22;PATIO;;;60
CONCERTO DE PNEUS;18;03/05/22;TROCAS DE PNEUS;;;200
LICENÇA RODOVIA;21;03/05/22;RECEBI EM MAOS ;;;
CLASSIFICADOR;22;03/05/22;GORGETA;;;10
COMISSAO;24;03/05/22;COMISAO ;;;1625,4
SEGURO;25;03/05/22;TAXAS SEGURO;;;63,12
PEDAGIO;29;03/05/22;CONCESSIONARIA;;;73,5
OFICINA DO CAMINHAO;19;03/05/22;FILTRO RACOR ;;;135
OFICINA DO CAMINHAO;19;04/05/22;AUTO ELETRICA SHE;ALTERNADOR;;588
OFICINA DO CAMINHAO;19;04/05/22;NASA ;CORREIA ;;270
CONCERTO DE PNEUS;18;04/05/22;BORRACHARIA ANTONIO LIMA ;TROCA DE PNEUS ;;120
FRETE FUBA;1;08/05/22;CANARANA X ARAGUARI;FAZENDA SANTA BARBARA;16089,6;
KM CHEGADA ;3;09/05/22;477.783 KM;;;
DIESEL;13;09/05/22;CAMINHONEIRO E MARAJO ;1115;;7207,36
ARLA;14;09/05/22;CAMINHONEIRO E MARAJO ;;;262,79
TRIAGEM;15;09/05/22;PATIO;;;60
OFICINA DO CAMINHAO;19;09/05/22;DECIO ;TACOGRAFO;;35
LICENÇA RODOVIA;21;09/05/22;DEPOSITO ;;;
COMISSAO;24;09/05/22;COMISSAO;;;1769,85
SEGURO;25;09/05/22;TAXAS E SEGURO;;;68,21
CTE  GVA;26;09/05/22;TAXA;;;249,19
PEDAGIO;29;09/05/22;CONCESSIONARIA;;;73,5
OFICINA DO CAMINHAO;19;09/05/22;EIXO LASER ;V DO TRUK;;1905
ASSESSORIO;31;09/05/22;MARAJO;GELADEIRA;;3200
FRETE FUBA;1;12/05/22;NOVA NAZARE (GERAÇÃO) X ARAGUARI;QUERENCIA;16154,4;
KM SAIDA ;2;12/05/22;477.902 KM;2.023 KM MEDIA 1,8 K/L;;
KM CHEGADA ;3;15/05/22;479.925 KM;;;
DIESEL;13;15/05/22;MARAJO E CAMINHONEIRO;1119;;7620,75
ARLA;14;15/05/22;MARAJO E CAMINHONEIRO;67 LTS;;242,24
TRIAGEM;15;15/05/22;PATIO;;;60
OFICINA DO CAMINHAO;19;15/05/22;OFICINA DO ITAMAR SHEGO;MANGUEIRA DO ARLA;;200
ASSESSORIO;31;15/05/22;PONTUAL SOLDAS SHEGO;MONTAGEM CAIXA DE COZINHA;;350
ASSESSORIO;31;15/05/22;DECIO ;CX COZINHA E ACESSORIOS ;;1615
LICENÇA RODOVIA;21;15/05/22;RECEBI EM MAOS ;;;
COMISSAO;24;15/05/22;COMISSAO ;;;1776,98
SEGURO;25;15/05/22;SEGURO E TAXAS;;;68,22
CTE  GVA;26;15/05/22;TAXAS CTE;;;242,31
PEDAGIO;29;15/05/22;CONCESSIONARIA;;;73,5
FRETE FUBA;1;18/05/22;XAVANTINA X UBERABA;255,00 TON;12729,6;
KM CHEGADA ;3;06/05/22;481.800 KM;1.875  KM RODADO;;
DIESEL;13;18/05/22;MARAJO;964;;6564,54
ARLA;14;18/05/22;MARAJO E CAMINHONEIRO;64 LTS.;;231,98
TRIAGEM;15;19/05/22;PATIO;;;60
CONCERTO DE PNEUS;18;19/05/22;BORRACHARIA;;;40
LICENÇA RODOVIA;21;19/05/22;ENVELOPE;;;
CLASSIFICADOR;22;18/05/22;GORGETA;;;20
COMISSAO;24;18/05/22;COMISSAO;;;1400,25
SEGURO;25;18/05/22;SEGURO E TAXAS;;;139,43
PEDAGIO;29;18/05/22;CONCESSIONARIA;;;110,1
PNEUS NOVOS;16;20/05/22;BRIXX;2 PNEUS LISOS APOLO;;4400
FRETE FUBA;1;21/05/22;NOVO S. JOAQUIM X UBERABA;ADM;15018;
